year,county_fips,low_access_share
2022,15003,26.92754098360657
2022,15001,73.19088235294117
2022,15005,100
2022,15007,60.146875
2022,15009,38.2445945945946
2022,48043,27.03
2022,48039,54.20254901960782
2022,48271,46.53
2022,48131,54.10666666666666
2022,48427,64.01
2022,48209,64
2022,48239,51.59666666666667
2022,48325,81.30000000000001
2022,48489,62.379999999999995
2022,48259,72.12
2022,48479,23.585245901639347
2022,48201,18.84353689567431
2022,48261,100
2022,48465,60.64200000000001
2022,48255,72.2575
2022,48505,36.49
2022,48339,53.719482758620714
2022,48355,42.31246913580245
2022,48391,65.945
2022,48041,100
2022,48089,61.762
2022,48361,67.09
2022,48453,29.509723502304134
2022,48171,70.338
2022,48463,60.624
2022,48149,79.08571428571429
2022,48185,74.34
2022,48283,73.75
2022,48273,39.035000000000004
2022,48469,45.34130434782608
2022,48321,65.997
2022,48047,52.949999999999996
2022,48029,36.938340425531905
2022,48287,73.7975
2022,48291,80.28142857142858
