id,name,tag_category_id
ckysay3ar268113zungkigy3f9,Call in advance for services,REQUIREMENT
ckwy1e8v401603mzzdvbewinl,ID required,REQUIREMENT
ckz3896jy1158434205z3hpk9x3,Diapers/baby essentials may be available,OFFERING
ckwy1kmgf01963mzzzbthvgzr,Proof of address required,REQUIREMENT
ckysthtnl1413213zun2050bb8o,"First come, first serve: open until food runs out",REQUIREMENT
ckwy1kh0401843mzzjuwgr3lv,Must bring own bags/cart,REQUIREMENT
ckyvuaunc1433653lqbkgsscmzf,Registration required,REQUIREMENT
ckz7d6it93105233mwaludlq05u,Clothing may be available,OFFERING
cky2p0xfu227123vx1je2aw6e0,Client choice pantry,OFFERING
ckyu9qvxi2403203hvsvdfuhpga,Drive-thru only,REQUIREMENT
cl8d5eity52040gjyltx2b8w9,Schedule appointment through Plentiful app,REQUIREMENT
ckyntyc3d179983lynmq78a9pg,Other social services available,OFFERING
ckyyhg0zg604803lz5uqa02ptv,Toiletries may be available,OFFERING
ckyvpd6tp2935363kwaf1vjdgcb,Seniors only,REQUIREMENT
ckyumvzqx120873luw34gzzvuq,Fresh produce,OFFERING
cl8an7skn01090gmcscs80vfp,Kosher food available,OFFERING
ckyvui2x51636953lqbacznftrh,Proof of household income required,REQUIREMENT
cl8hm3xp600890gmm9t3ilc4l,Halal food available,OFFERING
clp7174ev0kp0qm8hltemv2me,Referral Required. Lemontree can provide this referral. Please see the requirements in notes.,REQUIREMENT
ckz8k19fi1563103orck2r930qk,Pet food may be available,OFFERING
ckz8lahev3185193orcy99do0du,Delivery may be available,OFFERING
clmi46ixs020zlf0fud01k9q7,Community services,REQUIREMENT
cl6gmf47a2869204h1lfb8htvlr,Donations required,REQUIREMENT
ckwy1e3tc01493mzzd882i5ab,Students & staff only,REQUIREMENT
